Date,New Delhi,Mumbai,Kolkata,Chennai
2024-11-28,,,0.5644948154867461,
2024-11-29,0.47486058957882005,0.20147411463787976,,
2024-11-30,0.5295443079397993,,,
2024-12-01,0.400658657338591,1.2965856393576474,0.35851342286737353,
2024-12-02,0.32314974872293784,0.6670264440896997,,
2024-12-03,,,0.606953741747886,
2024-12-04,0.15801778589039633,0.3649070344710102,,
2024-12-05,,,0.36676356956895945,
2024-12-06,,,,
2024-12-07,,,0.3823928443574043,
2024-12-08,0.6329937599738101,0.14986563294607338,,
2024-12-09,,,1.1543586696534895,0.825732041326607
2024-12-10,0.29247558836508725,0.1703992110724876,,
2024-12-11,,,0.8393980082673028,
2024-12-12,0.3762344414416366,0.43291223354414976,0.531013060318036,
2024-12-13,0.31756987963381655,,0.5519541247426331,
2024-12-14,0.22244363086660293,0.21035362357764384,0.5421049691387158,
2024-12-15,0.3930866453305561,0.2364901281326379,0.3577732669388113,
2024-12-16,,0.0707913118824042,0.4096196531750953,
2024-12-17,0.7139584386934241,0.20136430259380075,,
2024-12-20,,,,
2024-12-21,0.5874615172012827,0.7520181398090411,,
2024-12-22,,,0.3667659255963,1.327960483011711
2024-12-23,,,,
2024-12-24,,,,
2024-12-25,1.208467525071767,1.0105675262912555,,
2024-12-26,,,,
2024-12-27,,0.47829552747760756,0.44692009732270876,
2024-12-28,,0.7793960193095628,0.5228460930998203,
2024-12-29,,0.5811211984223983,0.45960800653677547,
2024-12-30,,0.5115480466533352,,
2024-12-31,,,1.0721111023542274,
2025-01-01,,0.43195658991164304,,0.6489444733704658
2025-01-02,,,0.4519195420196739,0.6433457919572334
2025-01-03,2.046548939677981,0.10155801221502662,,
2025-01-04,,,,
2025-01-05,0.6516467283254707,0.38233539333928906,,
2025-01-06,,,0.4500393621545151,
2025-01-07,,0.4353054531149498,0.8868641854659721,
2025-01-08,0.4012589009959266,,0.4757649208522182,
2025-01-09,0.8549155441418199,0.48645528036118485,0.7919690973461052,
2025-01-10,,0.7697647244127337,0.791375983890911,
2025-01-11,,0.7956590155695982,0.5736592116126867,
2025-01-12,,0.743579374568607,,
2025-01-13,,,0.9320799433749958,
2025-01-14,0.5417887743012074,0.5145991005211604,,0.569953101094058
2025-01-15,,,0.8417418322031971,
2025-01-16,0.9029654327298893,0.5005844843599279,,
2025-01-17,,,0.48091447867514076,
2025-01-18,0.67887988946544,0.26849882889587146,,
2025-01-19,,,0.3297138356909265,
2025-01-20,0.33248547693045394,0.4187784749678092,0.3834285317627722,
2025-01-21,0.35877900959892295,,0.5888109552611762,
2025-01-22,0.40101139101110667,0.46942328544377304,0.49698096379827994,
2025-01-23,0.5197345394597161,0.5093767254586776,0.8422990087482811,
2025-01-24,,0.3715807497787006,1.3259399421832474,
2025-01-25,0.14956622516364465,0.250126551443009,,0.6245630721396572
2025-01-26,,,0.3918383863181445,
2025-01-27,0.2960675770443274,0.4379927003362762,,0.43315598013987106
2025-01-28,,,0.8331676505391535,0.7542377452207905
2025-01-29,0.5106068216907911,0.24227483566825697,,
2025-01-30,,,1.5464356715862568,0.48727843740991283
